RecID,Latitude,Longitude,Name,Status,MapLabel,MWNameplate,Project_Type,Cogen_Status,County,City,State,Zip
53,42.197586,-120.354345,Iberdrola Lakeview Project,Active development,Iberdrola Lakeview Project,26,Unknown,Unknown,Lake County,Lakeview,OR,97630
54,42.176324,-121.809231,Iberdrola Klamath Falls Project,Cancelled,Iberdrola Klamath Falls Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601
55,42.174472,-121.822306,Klamath Falls Bioenergy Project,Cancelled,Klamath Falls Bioenergy Project,,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601
56,42.436149,-122.849501,Biomass One LP,Operational,Biomass One LP,,Biomass solid fuel,cogen,Jackson County,White City,OR,97503
57,42.106133,-123.677315,Rough & Ready Power,Operational,Rough & Ready Power,,Biomass solid fuel,cogen,Josephine County,Cave Junction,OR,97523
58,37.718988,-120.895545,Central Valley Ag Grinding,"Active Development
",Central Valley Ag Grinding,1,Gasification,cogen,Stanislaus County,Oakdale,CA,95361
59,40.886347,-124.000079,Blue Lake Rancheria,Active development,Blue Lake Rancheria,0.8,Biomass solid fuel,not cogen,Humboldt County,Blue Lake,CA,95525
60,37.231861,-119.494599,North Fork Project,Active development,North Fork Project,2,Biomass solid fuel,Unknown,Madera County,North Fork,CA,93643
61,38.37751,-120.523977,Wilseyville Project,Active development,Wilseyville Project,3,Biomass solid fuel,Unknown,Calaveras County,West Point,CA,95255
62,39.936666,-120.946199,Quincy Proposed Project,Active Development,Quincy Project,3,Thermal,Unknown,Plumas County,Quincy,CA,95971
63,41.523309,-120.66971,Devils Garden Conservation Camp Proposed Project,Proposal,Devils Garden Conservation Camp Proposed Project,,Thermal,Unknown,Modoc County,Alturas,CA,96101
64,40.78939,-122.802506,Trinity Conservation Camp Proposed Project,Proposal,Trinity River Conservation Camp Proposed Project,,Thermal,Unknown,Trinity County,Lewiston,CA,96052
101,37.6383,-120.999589,Valley Bio-Energy,Cancelled,Valley Bio-Energy,33,Biomass solid fuel,not cogen,Stanislaus County,Modesto,CA,95350
102,42.16992,-121.818424,Collins Pine Co. Project,Operational,Collins Pine Biomass (Klamath Falls),,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601
103,41.731738,-122.589835,Timber Products,Operational,Timber Products Veneer (Yreka),,Thermal,Unknown,Siskiyou County,Yreka,CA,96097
104,42.179712,-121.798302,Columbia Plywood,Operational,Columbia Plywood,,Thermal,Unknown,Klamath County,Klamath Falls,OR,97601
105,32.91631,-115.522232,California Ethanol & Power LLC,Proposal,California Ethanol & Power LLC,49.9,Unknown,Unknown,Imperial County,Brawley,CA,92227
106,40.72493,-122.930638,Trinity River Lbr.,Proposal,Trinity River Lbr.,5,Unknown,Unknown,Trinity County,Weaverville,CA,96093
107,39.245133,-120.027133,Placer County,Cancelled,Placer County Biomass Power Project,2,Gasification,cogen,Placer County,Kings Beach,CA,96143
108,35.721901,-119.233356,AES Delano,Non-Operational,AES Delano,50,Unknown,Unknown,Kern County,Delano,CA,93250
109,35.679797,-119.796498,Liberty V Biofuels,Non-Operational,Amended and Restated Liberty V Biofuels,4.5,Unknown,Unknown,Kern County,Lost Hills,CA,
110,32.566906,-116.941888,Bull Moose Energy Otay Mesa Biomass Facility,Non-Operational,Bull Moose,20,Unknown,Unknown,San Diego County,San Diego,CA,
112,33.333935,-117.145164,Envirepel Fallbrook,Non-Operational,Envirepel Fallbrook,40,Unknown,Unknown,San Diego County,Fallbrook,CA,92028
114,33.085519,-116.863258,Envirepel Ramona,Non-Operational,Envirepel Ramona,5,Unknown,Unknown,San Diego County,Ramona,CA,92065
115,33.147989,-117.235388,Envirepel Vista,Non-Operational,KittyHawk,2,Unknown,Unknown,San Diego County,Vista,CA,92081
116,43.668663,-121.486519,HFI BioPower,Cancelled,HFI BioPower,20,Unknown,Unknown,Deschutes County,La Pine,OR,97739
117,32.903407,-115.534379,Imperial Valley Biopower,Non-Operational,Imperial Valley Biopower,20,Unknown,Unknown,Imperial County,Brawley,CA,92227
118,32.912743,-115.510335,Liberty 1 Biofuels Power,Non-Operational,Liberty 1 Biofuels Power,5,Unknown,Unknown,Imperial County,El Centro,CA,92251
121,40.428435,-122.2769,Wheelabrator No.4,Non-Operational,Wheelabrator No.4,3,Unknown,Unknown,Shasta County,Cottonwood,CA,96007
123,36.979552,-120.870087,Ortigalita Power Co.,Cancelled,Ortigalita Power,1,Unknown,Unknown,Merced,Los Banos,CA,
124,34.052028,-117.359847,Rialto Renewable Energy Center,Cancelled,Rialto Renewable Energy Center,40,Unknown,Unknown,San Bernardino,Bloomington,CA,
125,34.06079,-117.345883,Colton Renewable Energy Center,Cancelled,Colton Renewable Energy Center,49.9,Unknown,Unknown,San Bernardino,Colton,CA,92324
126,38.301876,-122.754976,Sonoma Green Energy,Non-Operational,Sonoma Green Energy,1,Unknown,Unknown,Sonoma,Petaluma,CA,
135,42.163105,-120.349209,Red Rock Biofuels LLC,Active Development,Red Rock Biofuels,17.5,Unknown,Unknown,,Lakeview,OR,
136,37.838344,-120.5064,American Wood Shavings,Operational,American Wood Shavings Biomass Dryer,,Thermal,,,Jamestown,CA,95327
